  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K1, 	S36, 	0.000,	0.000,	0.125,	0.173,	0.000,	0.395,	0.021,	0.230,	0.112,	0.517,	0.559,	0.781,	0.961,	1.011,	0.312,	0.786,	0.720,	0.434,	0.664,	0.240,	0.024,	0.066,	0.000,	0.159, 
K1, 	S37, 	0.366,	0.509,	0.024,	0.000,	0.665,	0.291,	0.000,	0.004,	0.082,	0.133,	0.632,	0.717,	0.886,	0.557,	0.328,	0.548,	0.827,	0.759,	0.235,	0.177,	0.040,	0.000,	0.000,	0.185, 
K1, 	S38, 	0.403,	0.000,	0.037,	0.036,	0.103,	0.014,	0.147,	0.048,	0.155,	0.276,	0.622,	0.327,	0.882,	0.715,	0.712,	0.591,	0.560,	0.487,	0.371,	0.259,	0.141,	0.076,	0.171,	0.174, 
K1, 	S39, 	0.000,	0.059,	0.000,	0.066,	0.033,	0.000,	0.000,	0.118,	0.243,	0.559,	0.751,	0.853,	0.820,	1.016,	0.759,	0.535,	0.728,	0.485,	0.251,	0.139,	0.277,	0.048,	0.000,	0.048, 
K1, 	S40, 	0.004,	0.006,	0.214,	0.000,	0.105,	0.000,	0.000,	0.085,	0.204,	0.267,	0.554,	0.793,	0.823,	0.889,	0.309,	0.744,	0.566,	0.385,	0.531,	0.374,	0.416,	0.004,	0.105,	0.074, 
K1, 	S41, 	0.114,	0.000,	0.000,	0.043,	0.047,	0.025,	0.000,	0.265,	0.255,	0.245,	0.570,	0.884,	0.827,	0.816,	0.764,	0.540,	0.787,	0.573,	0.403,	0.334,	0.329,	0.182,	0.227,	0.000, 
K1, 	S42, 	0.373,	0.342,	0.000,	0.077,	0.267,	0.278,	0.026,	0.000,	0.020,	0.160,	0.701,	0.330,	0.451,	0.889,	0.857,	0.869,	0.831,	0.565,	0.381,	0.339,	0.019,	0.120,	0.233,	0.244, 
K1, 	S43, 	0.114,	0.000,	0.215,	0.000,	0.032,	0.000,	0.233,	0.111,	0.000,	0.474,	0.835,	0.966,	0.898,	0.781,	0.755,	0.604,	0.822,	0.556,	0.554,	0.419,	0.151,	0.097,	0.251,	0.137, 
K1, 	S44, 	0.113,	0.345,	0.403,	0.189,	0.000,	0.000,	0.212,	0.097,	0.105,	0.136,	0.448,	0.921,	0.960,	0.773,	0.721,	0.598,	0.493,	0.459,	0.438,	0.240,	0.115,	0.050,	0.009,	0.051, 
K1, 	S45, 	0.000,	0.000,	0.000,	0.228,	0.063,	0.190,	0.233,	0.405,	0.262,	0.177,	0.951,	0.312,	0.534,	0.759,	0.835,	0.993,	0.798,	0.360,	0.552,	0.212,	0.142,	0.382,	0.229,	0.202, 
