  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K14, 	S75, 	0.936,	0.760,	0.820,	0.557,	0.550,	0.602,	0.352,	0.271,	0.257,	0.310,	0.238,	0.193,	0.092,	0.000,	0.028,	0.081,	0.000,	0.000,	0.000,	0.154,	0.415,	0.623,	0.670,	0.961, 
K14, 	S76, 	0.773,	0.701,	0.831,	0.466,	0.568,	0.291,	0.270,	0.126,	0.130,	0.070,	0.237,	0.069,	0.007,	0.186,	0.287,	0.161,	0.143,	0.080,	0.062,	0.081,	0.226,	0.480,	0.652,	0.655, 
K14, 	S77, 	0.684,	0.761,	0.597,	0.789,	0.509,	0.174,	0.408,	0.000,	0.133,	0.063,	0.142,	0.224,	0.159,	0.000,	0.130,	0.012,	0.000,	0.034,	0.354,	0.257,	0.193,	0.813,	0.611,	0.586, 
K14, 	S78, 	0.264,	0.770,	0.863,	0.865,	0.595,	0.437,	0.065,	0.047,	0.057,	0.238,	0.243,	0.004,	0.146,	0.203,	0.306,	0.000,	0.012,	0.294,	0.256,	0.026,	0.428,	0.505,	0.692,	0.771, 
K14, 	S79, 	1.028,	0.961,	0.635,	0.669,	0.539,	0.434,	0.222,	0.299,	0.078,	0.044,	0.000,	0.138,	0.227,	0.142,	0.011,	0.089,	0.210,	0.000,	0.393,	0.129,	0.140,	0.770,	0.903,	0.779, 
K14, 	S80, 	0.959,	1.040,	0.774,	0.775,	0.550,	0.365,	0.103,	0.219,	0.000,	0.213,	0.244,	0.000,	0.016,	0.029,	0.000,	0.085,	0.498,	0.000,	0.346,	0.260,	0.307,	0.581,	0.674,	0.625, 
K14, 	S81, 	0.768,	0.923,	0.785,	0.916,	0.767,	0.329,	0.233,	0.113,	0.160,	0.080,	0.055,	0.056,	0.009,	0.061,	0.123,	0.160,	0.386,	0.063,	0.000,	0.279,	0.464,	0.450,	0.692,	0.840, 
K14, 	S82, 	0.847,	0.660,	0.822,	0.761,	0.584,	0.325,	0.325,	0.219,	0.161,	0.111,	0.123,	0.203,	0.216,	0.204,	0.077,	0.039,	0.061,	0.000,	0.000,	0.081,	0.248,	0.691,	0.759,	0.744, 
K14, 	S83, 	0.679,	0.569,	0.832,	0.711,	0.599,	0.501,	0.103,	0.386,	0.000,	0.173,	0.037,	0.000,	0.000,	0.104,	0.041,	0.087,	0.146,	0.063,	0.231,	0.032,	0.347,	0.583,	0.656,	0.682, 
K14, 	S84, 	0.695,	0.826,	0.770,	0.460,	0.550,	0.511,	0.230,	0.260,	0.184,	0.095,	0.194,	0.179,	0.285,	0.179,	0.035,	0.000,	0.058,	0.015,	0.012,	0.000,	0.063,	0.538,	0.831,	0.691, 
K14, 	S85, 	0.868,	0.926,	0.773,	0.669,	0.804,	0.454,	0.265,	0.267,	0.024,	0.189,	0.195,	0.137,	0.150,	0.169,	0.184,	0.125,	0.053,	0.012,	0.000,	0.118,	0.177,	0.661,	0.690,	0.666, 
K14, 	S86, 	0.959,	0.686,	0.955,	0.783,	0.727,	0.361,	0.112,	0.151,	0.056,	0.003,	0.139,	0.106,	0.066,	0.101,	0.041,	0.442,	0.000,	0.000,	0.000,	0.190,	0.256,	0.466,	0.589,	0.761, 
K14, 	S87, 	0.863,	0.632,	0.593,	0.705,	0.414,	0.511,	0.103,	0.291,	0.055,	0.095,	0.220,	0.143,	0.240,	0.061,	0.121,	0.122,	0.000,	0.301,	0.000,	0.131,	0.177,	0.646,	0.752,	0.746, 
K14, 	S88, 	0.995,	0.702,	0.794,	0.749,	0.417,	0.369,	0.250,	0.002,	0.185,	0.094,	0.035,	0.209,	0.280,	0.030,	0.030,	0.467,	0.413,	0.000,	0.280,	0.098,	0.304,	0.421,	0.592,	0.644, 
K14, 	S89, 	0.893,	0.464,	0.726,	0.682,	0.628,	0.437,	0.203,	0.077,	0.089,	0.058,	0.034,	0.014,	0.000,	0.192,	0.037,	0.054,	0.396,	0.063,	0.324,	0.142,	0.430,	0.628,	0.604,	0.822, 
K14, 	S90, 	0.680,	0.758,	0.602,	0.735,	0.584,	0.435,	0.248,	0.418,	0.016,	0.237,	0.046,	0.151,	0.136,	0.152,	0.087,	0.349,	0.000,	0.000,	0.023,	0.144,	0.178,	0.549,	0.699,	0.538, 
K14, 	S91, 	0.680,	0.764,	0.636,	0.738,	0.805,	0.444,	0.103,	0.381,	0.000,	0.238,	0.190,	0.000,	0.018,	0.176,	0.178,	0.000,	0.004,	0.028,	0.047,	0.261,	0.430,	0.334,	0.819,	0.691, 
K14, 	S92, 	0.919,	0.741,	1.057,	0.640,	0.381,	0.174,	0.232,	0.056,	0.145,	0.096,	0.000,	0.047,	0.088,	0.195,	0.118,	0.040,	0.143,	0.039,	0.368,	0.144,	0.312,	0.633,	0.476,	0.729, 
K14, 	S93, 	0.487,	0.354,	0.589,	0.713,	0.688,	0.375,	0.286,	0.345,	0.000,	0.274,	0.281,	0.049,	0.222,	0.202,	0.187,	0.000,	0.010,	0.031,	0.335,	0.270,	0.065,	0.479,	0.755,	0.801, 
K14, 	S94, 	0.861,	0.850,	0.833,	0.668,	0.550,	0.520,	0.436,	0.150,	0.007,	0.251,	0.008,	0.022,	0.001,	0.203,	0.280,	0.000,	0.097,	0.057,	0.406,	0.164,	0.064,	0.437,	0.596,	0.829, 
K14, 	S95, 	0.684,	0.765,	0.746,	0.722,	0.599,	0.382,	0.126,	0.130,	0.009,	0.095,	0.130,	0.023,	0.284,	0.077,	0.241,	0.000,	0.012,	0.054,	0.061,	0.268,	0.132,	0.459,	0.680,	0.688, 
K14, 	S96, 	1.021,	0.709,	0.915,	1.015,	0.561,	0.414,	0.060,	0.115,	0.000,	0.220,	0.247,	0.199,	0.210,	0.240,	0.213,	0.000,	0.088,	0.060,	0.000,	0.000,	0.206,	0.545,	0.678,	0.835, 
K14, 	S97, 	0.821,	0.623,	1.018,	0.587,	0.414,	0.349,	0.060,	0.246,	0.133,	0.052,	0.002,	0.147,	0.068,	0.203,	0.314,	0.160,	0.505,	0.430,	0.377,	0.187,	0.296,	0.719,	0.616,	0.653, 
K14, 	S98, 	0.868,	0.363,	0.831,	0.726,	0.414,	0.370,	0.364,	0.254,	0.244,	0.265,	0.000,	0.051,	0.209,	0.228,	0.040,	0.161,	0.505,	0.000,	0.065,	0.253,	0.509,	0.315,	0.502,	0.766, 
K14, 	S99, 	0.269,	0.855,	0.756,	0.659,	0.418,	0.572,	0.280,	0.303,	0.000,	0.239,	0.033,	0.045,	0.013,	0.209,	0.121,	0.202,	0.061,	0.254,	0.043,	0.184,	0.302,	0.601,	0.676,	0.691, 
K14, 	S100, 	0.684,	0.897,	0.836,	0.732,	0.621,	0.276,	0.269,	0.079,	0.127,	0.160,	0.088,	0.107,	0.001,	0.161,	0.056,	0.088,	0.385,	0.311,	0.061,	0.187,	0.307,	0.494,	0.756,	0.703, 


K15, 	S1, 	0.155,	0.581,	0.583,	0.491,	0.299,	0.137,	0.067,	0.000,	0.263,	0.181,	0.117,	0.232,	0.147,	0.254,	0.054,	0.117,	0.000,	0.005,	0.128,	0.362,	0.717,	0.581,	0.684,	0.637, 
K15, 	S2, 	0.569,	0.713,	0.692,	0.493,	0.166,	0.069,	0.032,	0.149,	0.089,	0.129,	0.208,	0.148,	0.308,	0.166,	0.132,	0.000,	0.003,	0.084,	0.271,	0.201,	0.333,	0.588,	0.597,	0.733, 
K15, 	S3, 	0.570,	0.757,	0.501,	0.503,	0.322,	0.393,	0.212,	0.246,	0.271,	0.000,	0.328,	0.192,	0.135,	0.126,	0.000,	0.043,	0.000,	0.291,	0.185,	0.308,	0.616,	0.813,	0.582,	0.809, 
K15, 	S4, 	0.610,	0.143,	0.479,	0.675,	0.483,	0.084,	0.182,	0.254,	0.145,	0.148,	0.092,	0.073,	0.146,	0.276,	0.000,	0.118,	0.196,	0.062,	0.276,	0.296,	0.660,	0.408,	0.595,	0.725, 
K15, 	S5, 	0.813,	0.631,	0.816,	0.504,	0.587,	0.046,	0.233,	0.241,	0.166,	0.000,	0.000,	0.025,	0.244,	0.187,	0.135,	0.479,	0.011,	0.250,	0.026,	0.202,	0.394,	0.542,	0.645,	0.814, 
K15, 	S6, 	0.839,	0.646,	0.685,	0.639,	0.234,	0.398,	0.325,	0.000,	0.170,	0.012,	0.155,	0.058,	0.000,	0.027,	0.060,	0.458,	0.000,	0.000,	0.210,	0.362,	0.762,	0.823,	0.587,	0.826, 
K15, 	S7, 	0.610,	0.847,	0.680,	0.463,	0.564,	0.161,	0.017,	0.159,	0.182,	0.109,	0.209,	0.142,	0.032,	0.000,	0.130,	0.000,	0.165,	0.000,	0.239,	0.412,	0.434,	0.533,	0.768,	0.977, 
K15, 	S8, 	0.927,	0.851,	0.561,	0.633,	0.323,	0.045,	0.000,	0.169,	0.179,	0.008,	0.115,	0.245,	0.258,	0.167,	0.000,	0.512,	0.000,	0.000,	0.000,	0.191,	0.510,	0.534,	0.586,	0.778, 
K15, 	S9, 	0.721,	0.757,	0.560,	0.700,	0.179,	0.365,	0.340,	0.022,	0.113,	0.114,	0.201,	0.113,	0.151,	0.120,	0.113,	0.014,	0.051,	0.047,	0.193,	0.378,	0.511,	0.915,	0.769,	0.773, 
K15, 	S10, 	0.717,	0.722,	0.932,	0.505,	0.365,	0.125,	0.070,	0.000,	0.241,	0.167,	0.079,	0.195,	0.181,	0.192,	0.000,	0.000,	0.000,	0.000,	0.281,	0.220,	0.575,	0.829,	0.906,	0.950, 
K15, 	S11, 	0.570,	0.750,	0.830,	0.451,	0.322,	0.313,	0.199,	0.254,	0.247,	0.074,	0.081,	0.171,	0.000,	0.000,	0.159,	0.000,	0.310,	0.339,	0.186,	0.590,	0.660,	0.762,	0.587,	0.755, 
K15, 	S12, 	0.581,	0.607,	0.697,	0.675,	0.480,	0.248,	0.362,	0.187,	0.145,	0.082,	0.000,	0.000,	0.000,	0.164,	0.000,	0.000,	0.058,	0.243,	0.284,	0.407,	0.740,	0.809,	1.024,	0.952, 
K15, 	S13, 	0.716,	0.760,	0.567,	0.618,	0.279,	0.140,	0.263,	0.000,	0.172,	0.166,	0.070,	0.206,	0.000,	0.097,	0.185,	0.000,	0.000,	0.296,	0.181,	0.362,	0.702,	0.808,	0.582,	0.781, 
K15, 	S14, 	0.600,	0.218,	0.830,	0.501,	0.439,	0.402,	0.160,	0.141,	0.146,	0.161,	0.000,	0.155,	0.008,	0.060,	0.000,	0.000,	0.000,	0.164,	0.290,	0.280,	0.327,	0.730,	0.579,	0.912, 
K15, 	S15, 	0.751,	0.684,	0.515,	0.575,	0.265,	0.237,	0.222,	0.000,	0.052,	0.190,	0.167,	0.026,	0.000,	0.186,	0.000,	0.000,	0.331,	0.226,	0.118,	0.362,	0.492,	0.660,	0.660,	0.984, 
K15, 	S16, 	0.901,	0.729,	0.449,	0.672,	0.366,	0.183,	0.054,	0.000,	0.193,	0.084,	0.024,	0.002,	0.320,	0.191,	0.000,	0.523,	0.152,	0.060,	0.109,	0.406,	0.350,	0.535,	0.665,	0.831, 
K15, 	S17, 	1.018,	0.758,	0.690,	0.444,	0.367,	0.036,	0.200,	0.090,	0.246,	0.000,	0.000,	0.007,	0.279,	0.000,	0.118,	0.067,	0.335,	0.147,	0.052,	0.604,	0.357,	0.536,	0.578,	0.844, 
K15, 	S18, 	0.833,	0.703,	0.997,	0.618,	0.493,	0.394,	0.334,	0.253,	0.255,	0.037,	0.436,	0.336,	0.013,	0.000,	0.009,	0.035,	0.000,	0.124,	0.000,	0.042,	0.605,	0.772,	0.481,	0.802, 
K15, 	S19, 	0.895,	0.953,	0.823,	0.514,	0.341,	0.093,	0.273,	0.024,	0.148,	0.000,	0.046,	0.177,	0.000,	0.000,	0.000,	0.091,	0.012,	0.108,	0.292,	0.411,	0.536,	0.807,	0.587,	0.804, 
K15, 	S20, 	0.681,	0.765,	0.820,	0.476,	0.333,	0.385,	0.190,	0.183,	0.051,	0.162,	0.224,	0.222,	0.278,	0.210,	0.131,	0.497,	0.000,	0.000,	0.000,	0.243,	0.536,	0.423,	0.740,	0.832, 
K15, 	S21, 	0.721,	0.960,	0.566,	0.789,	0.452,	0.255,	0.315,	0.000,	0.051,	0.165,	0.070,	0.070,	0.005,	0.098,	0.109,	0.000,	0.065,	0.000,	0.141,	0.369,	0.798,	0.812,	0.721,	0.832, 
K15, 	S22, 	0.869,	0.759,	0.808,	0.674,	0.370,	0.392,	0.000,	0.000,	0.288,	0.141,	0.160,	0.085,	0.140,	0.286,	0.000,	0.000,	0.074,	0.060,	0.157,	0.195,	0.549,	0.708,	0.874,	1.057, 
K15, 	S23, 	0.825,	0.730,	0.560,	0.683,	0.485,	0.010,	0.072,	0.133,	0.270,	0.054,	0.000,	0.292,	0.242,	0.159,	0.257,	0.206,	0.036,	0.000,	0.128,	0.237,	0.316,	0.623,	0.741,	0.763, 
K15, 	S24, 	0.573,	0.852,	0.688,	0.736,	0.414,	0.124,	0.231,	0.000,	0.053,	0.173,	0.081,	0.176,	0.146,	0.187,	0.000,	0.009,	0.166,	0.091,	0.136,	0.360,	0.498,	0.650,	0.769,	1.033, 
K15, 	S25, 	0.787,	0.754,	0.574,	0.675,	0.605,	0.260,	0.122,	0.137,	0.138,	0.000,	0.175,	0.002,	0.003,	0.111,	0.084,	0.321,	0.211,	0.000,	0.000,	0.315,	0.733,	0.735,	0.595,	0.798, 
K15, 	S26, 	0.617,	0.752,	0.637,	0.560,	0.164,	0.307,	0.173,	0.252,	0.280,	0.095,	0.154,	0.210,	0.227,	0.000,	0.000,	0.000,	0.000,	0.048,	0.000,	0.239,	0.564,	0.879,	0.942,	0.779, 
K15, 	S27, 	0.574,	0.666,	0.915,	0.578,	0.489,	0.545,	0.304,	0.197,	0.138,	0.189,	0.081,	0.266,	0.000,	0.000,	0.117,	0.000,	0.068,	0.084,	0.214,	0.368,	0.813,	0.956,	0.730,	0.404, 
K15, 	S28, 	0.721,	0.672,	0.757,	0.438,	0.320,	0.139,	0.228,	0.096,	0.261,	0.267,	0.034,	0.335,	0.248,	0.287,	0.058,	0.000,	0.000,	0.000,	0.025,	0.047,	0.454,	0.780,	0.877,	0.867, 
K15, 	S29, 	0.195,	0.673,	0.830,	0.425,	0.376,	0.207,	0.184,	0.183,	0.263,	0.132,	0.451,	0.318,	0.138,	0.183,	0.089,	0.171,	0.000,	0.005,	0.140,	0.298,	0.475,	0.593,	0.768,	0.372, 
K15, 	S30, 	0.726,	0.762,	0.818,	0.674,	0.575,	0.123,	0.040,	0.169,	0.145,	0.158,	0.019,	0.214,	0.098,	0.025,	0.319,	0.306,	0.172,	0.000,	0.242,	0.384,	0.426,	0.666,	0.720,	0.733, 
K15, 	S31, 	0.617,	0.606,	0.742,	0.583,	0.557,	0.543,	0.183,	0.189,	0.172,	0.000,	0.018,	0.032,	0.111,	0.000,	0.041,	0.000,	0.071,	0.059,	0.276,	0.560,	0.471,	0.831,	0.749,	0.721, 
K15, 	S32, 	0.763,	0.670,	0.914,	0.740,	0.491,	0.081,	0.322,	0.265,	0.247,	0.000,	0.275,	0.000,	0.000,	0.124,	0.000,	0.062,	0.070,	0.092,	0.151,	0.304,	0.464,	0.787,	0.948,	0.863, 
K15, 	S33, 	0.715,	0.870,	0.642,	0.489,	0.180,	0.208,	0.269,	0.048,	0.280,	0.175,	0.416,	0.197,	0.003,	0.000,	0.096,	0.000,	0.218,	0.157,	0.011,	0.363,	0.569,	0.518,	0.905,	0.907, 
K15, 	S34, 	0.844,	0.908,	0.755,	0.672,	0.483,	0.069,	0.000,	0.000,	0.100,	0.000,	0.065,	0.273,	0.291,	0.033,	0.087,	0.000,	0.103,	0.171,	0.030,	0.207,	0.308,	0.557,	0.579,	0.882, 
K15, 	S35, 	0.704,	0.474,	0.587,	0.453,	0.408,	0.361,	0.057,	0.264,	0.257,	0.169,	0.130,	0.000,	0.000,	0.098,	0.000,	0.117,	0.060,	0.293,	0.156,	0.249,	0.725,	0.706,	0.644,	0.921, 
K15, 	S36, 	0.704,	0.960,	0.830,	0.810,	0.295,	0.204,	0.297,	0.253,	0.056,	0.196,	0.191,	0.003,	0.133,	0.260,	0.132,	0.000,	0.000,	0.000,	0.123,	0.564,	0.349,	0.540,	0.625,	0.888, 
K15, 	S37, 	0.912,	0.902,	0.514,	0.505,	0.311,	0.010,	0.162,	0.141,	0.277,	0.000,	0.367,	0.272,	0.002,	0.144,	0.038,	0.106,	0.109,	0.080,	0.000,	0.244,	0.306,	0.904,	0.705,	0.967, 
K15, 	S38, 	0.836,	0.984,	0.490,	0.674,	0.466,	0.391,	0.349,	0.117,	0.296,	0.139,	0.141,	0.130,	0.317,	0.084,	0.000,	0.000,	0.000,	0.000,	0.152,	0.405,	0.508,	0.708,	1.049,	0.978, 
K15, 	S39, 	0.839,	0.996,	0.539,	0.665,	0.179,	0.082,	0.070,	0.000,	0.010,	0.067,	0.203,	0.105,	0.009,	0.187,	0.033,	0.109,	0.285,	0.000,	0.026,	0.047,	0.484,	0.568,	0.587,	0.795, 
K15, 	S40, 	0.825,	0.607,	0.725,	0.675,	0.345,	0.495,	0.340,	0.000,	0.145,	0.035,	0.213,	0.120,	0.228,	0.026,	0.231,	0.000,	0.163,	0.079,	0.294,	0.305,	0.402,	0.673,	0.721,	0.877, 
K15, 	S41, 	0.149,	0.675,	0.828,	0.746,	0.632,	0.422,	0.313,	0.263,	0.201,	0.070,	0.015,	0.014,	0.131,	0.042,	0.090,	0.117,	0.000,	0.000,	0.235,	0.422,	0.504,	0.851,	0.909,	0.633, 
K15, 	S42, 	0.717,	1.025,	0.499,	0.501,	0.298,	0.519,	0.253,	0.103,	0.130,	0.112,	0.444,	0.307,	0.000,	0.000,	0.040,	0.054,	0.000,	0.000,	0.010,	0.108,	0.682,	0.658,	0.769,	0.733, 
K15, 	S43, 	0.382,	0.139,	0.940,	0.686,	0.618,	0.346,	0.089,	0.143,	0.065,	0.169,	0.221,	0.000,	0.248,	0.198,	0.173,	0.155,	0.000,	0.044,	0.102,	0.312,	0.513,	0.802,	0.952,	0.863, 
K15, 	S44, 	0.572,	0.673,	0.747,	0.441,	0.435,	0.125,	0.163,	0.097,	0.195,	0.000,	0.142,	0.000,	0.144,	0.003,	0.000,	0.000,	0.153,	0.334,	0.186,	0.396,	0.569,	0.541,	0.721,	0.803, 
K15, 	S45, 	0.604,	0.665,	0.543,	0.585,	0.433,	0.312,	0.066,	0.197,	0.154,	0.000,	0.000,	0.195,	0.032,	0.253,	0.104,	0.000,	0.380,	0.040,	0.179,	0.290,	0.496,	0.756,	0.762,	0.724, 
K15, 	S46, 	1.024,	0.936,	0.751,	0.391,	0.323,	0.207,	0.022,	0.000,	0.272,	0.161,	0.166,	0.221,	0.000,	0.198,	0.141,	0.118,	0.000,	0.000,	0.149,	0.354,	0.511,	0.769,	0.205,	0.866, 
K15, 	S47, 	0.575,	0.144,	0.761,	0.503,	0.221,	0.099,	0.207,	0.147,	0.106,	0.163,	0.136,	0.178,	0.005,	0.104,	0.139,	0.507,	0.267,	0.302,	0.192,	0.040,	0.407,	0.809,	0.745,	0.473, 
K15, 	S48, 	0.658,	0.607,	0.647,	0.503,	0.463,	0.391,	0.061,	0.000,	0.189,	0.189,	0.195,	0.328,	0.129,	0.028,	0.210,	0.117,	0.000,	0.000,	0.142,	0.273,	0.479,	0.800,	0.604,	0.779, 
K15, 	S49, 	0.712,	1.052,	0.816,	0.644,	0.449,	0.154,	0.065,	0.108,	0.108,	0.217,	0.096,	0.294,	0.038,	0.192,	0.075,	0.000,	0.418,	0.000,	0.151,	0.560,	0.657,	0.576,	0.728,	0.815, 
K15, 	S50, 	0.917,	0.907,	0.644,	0.674,	0.390,	0.431,	0.000,	0.188,	0.256,	0.217,	0.080,	0.209,	0.274,	0.114,	0.098,	0.065,	0.134,	0.000,	0.169,	0.180,	0.453,	0.780,	0.824,	0.818, 
K15, 	S51, 	0.444,	0.757,	0.482,	0.591,	0.350,	0.127,	0.241,	0.000,	0.148,	0.215,	0.000,	0.273,	0.000,	0.000,	0.138,	0.000,	0.426,	0.258,	0.009,	0.312,	0.591,	0.809,	0.203,	0.380, 
K15, 	S52, 	0.939,	0.842,	0.689,	0.527,	0.321,	0.117,	0.239,	0.000,	0.000,	0.000,	0.008,	0.039,	0.280,	0.191,	0.339,	0.194,	0.270,	0.311,	0.164,	0.369,	0.487,	0.778,	0.875,	0.390, 
K15, 	S53, 	0.746,	1.006,	0.749,	0.505,	0.344,	0.415,	0.312,	0.272,	0.166,	0.161,	0.000,	0.000,	0.115,	0.000,	0.040,	0.000,	0.427,	0.081,	0.000,	0.310,	0.715,	0.680,	0.911,	0.878, 
K15, 	S54, 	0.869,	0.631,	0.593,	0.610,	0.303,	0.010,	0.180,	0.229,	0.259,	0.136,	0.096,	0.181,	0.338,	0.284,	0.000,	0.021,	0.000,	0.081,	0.008,	0.048,	0.499,	0.713,	0.949,	0.886, 
K15, 	S55, 	0.996,	0.808,	0.748,	0.445,	0.480,	0.054,	0.313,	0.249,	0.266,	0.054,	0.165,	0.161,	0.000,	0.277,	0.218,	0.518,	0.135,	0.000,	0.129,	0.405,	0.455,	0.709,	0.337,	0.908, 
K15, 	S56, 	0.616,	0.840,	0.572,	0.631,	0.527,	0.194,	0.236,	0.247,	0.166,	0.110,	0.000,	0.058,	0.000,	0.205,	0.000,	0.325,	0.035,	0.318,	0.273,	0.215,	0.510,	0.528,	0.669,	0.406, 
K15, 	S57, 	0.723,	0.504,	0.823,	0.503,	0.326,	0.273,	0.161,	0.162,	0.069,	0.139,	0.064,	0.245,	0.036,	0.056,	0.139,	0.118,	0.000,	0.087,	0.007,	0.238,	0.351,	0.765,	0.740,	0.735, 
K15, 	S58, 	0.827,	0.697,	0.711,	0.441,	0.492,	0.402,	0.284,	0.178,	0.266,	0.198,	0.172,	0.125,	0.002,	0.203,	0.000,	0.000,	0.000,	0.129,	0.000,	0.219,	0.736,	0.774,	0.769,	0.822, 
K15, 	S59, 	0.406,	0.671,	0.561,	0.506,	0.324,	0.148,	0.273,	0.254,	0.248,	0.008,	0.423,	0.242,	0.168,	0.000,	0.219,	0.521,	0.053,	0.001,	0.242,	0.337,	0.468,	0.807,	0.581,	0.375, 
K15, 	S60, 	0.573,	0.668,	0.664,	0.453,	0.289,	0.428,	0.214,	0.134,	0.251,	0.192,	0.213,	0.326,	0.147,	0.013,	0.000,	0.000,	0.402,	0.058,	0.162,	0.197,	0.547,	0.777,	0.720,	0.686, 
K15, 	S61, 	0.932,	0.960,	0.632,	0.738,	0.317,	0.266,	0.078,	0.000,	0.277,	0.196,	0.159,	0.273,	0.235,	0.158,	0.218,	0.077,	0.000,	0.000,	0.190,	0.194,	0.513,	0.725,	0.592,	0.774, 
K15, 	S62, 	0.754,	0.234,	0.835,	0.616,	0.324,	0.335,	0.353,	0.000,	0.000,	0.054,	0.434,	0.176,	0.003,	0.093,	0.038,	0.264,	0.000,	0.000,	0.004,	0.269,	0.720,	0.705,	0.902,	0.849, 
K15, 	S63, 	0.970,	1.048,	0.561,	0.675,	0.483,	0.126,	0.183,	0.025,	0.274,	0.234,	0.195,	0.273,	0.186,	0.288,	0.078,	0.000,	0.000,	0.004,	0.011,	0.285,	0.444,	0.769,	0.647,	0.872, 
K15, 	S64, 	0.616,	0.762,	0.450,	0.434,	0.236,	0.256,	0.330,	0.144,	0.189,	0.147,	0.081,	0.234,	0.105,	0.000,	0.139,	0.207,	0.331,	0.000,	0.146,	0.434,	0.800,	0.861,	0.589,	0.547, 
K15, 	S65, 	0.720,	0.839,	0.727,	0.744,	0.354,	0.538,	0.330,	0.132,	0.105,	0.162,	0.216,	0.011,	0.221,	0.131,	0.126,	0.000,	0.045,	0.315,	0.267,	0.180,	0.619,	0.950,	0.295,	0.866, 
K15, 	S66, 	0.705,	0.693,	0.472,	0.505,	0.464,	0.344,	0.338,	0.166,	0.217,	0.000,	0.099,	0.000,	0.002,	0.000,	0.000,	0.215,	0.426,	0.283,	0.275,	0.364,	0.524,	0.806,	0.585,	0.733, 
K15, 	S67, 	0.868,	0.656,	0.440,	0.675,	0.407,	0.146,	0.213,	0.000,	0.097,	0.000,	0.221,	0.157,	0.154,	0.009,	0.112,	0.503,	0.360,	0.000,	0.128,	0.560,	0.725,	0.422,	0.197,	0.814, 
K15, 	S68, 	0.691,	0.150,	0.750,	0.541,	0.360,	0.382,	0.313,	0.100,	0.000,	0.173,	0.397,	0.083,	0.240,	0.285,	0.107,	0.054,	0.000,	0.000,	0.000,	0.288,	0.327,	0.794,	0.610,	0.725, 
K15, 	S69, 	0.890,	0.845,	0.686,	0.739,	0.290,	0.367,	0.310,	0.208,	0.056,	0.167,	0.083,	0.165,	0.332,	0.185,	0.133,	0.141,	0.045,	0.000,	0.009,	0.360,	0.333,	0.537,	0.901,	0.912, 
K15, 	S70, 	0.692,	0.842,	0.829,	0.671,	0.420,	0.263,	0.335,	0.101,	0.207,	0.193,	0.077,	0.204,	0.142,	0.122,	0.000,	0.000,	0.000,	0.075,	0.091,	0.256,	0.400,	0.705,	0.628,	0.970, 
K15, 	S71, 	0.747,	0.752,	0.474,	0.521,	0.164,	0.402,	0.074,	0.157,	0.257,	0.271,	0.040,	0.156,	0.000,	0.262,	0.000,	0.000,	0.175,	0.072,	0.128,	0.287,	0.726,	0.841,	0.988,	0.842, 
K15, 	S72, 	0.616,	1.003,	0.759,	0.688,	0.166,	0.082,	0.151,	0.000,	0.278,	0.210,	0.111,	0.331,	0.000,	0.190,	0.039,	0.000,	0.000,	0.000,	0.190,	0.191,	0.545,	0.935,	0.698,	0.773, 
K15, 	S73, 	0.607,	0.580,	0.898,	0.504,	0.629,	0.235,	0.109,	0.080,	0.121,	0.015,	0.087,	0.307,	0.302,	0.000,	0.202,	0.000,	0.259,	0.093,	0.141,	0.093,	0.375,	0.974,	0.631,	0.781, 
K15, 	S74, 	0.825,	0.841,	0.756,	0.744,	0.421,	0.297,	0.371,	0.000,	0.264,	0.000,	0.000,	0.000,	0.001,	0.000,	0.000,	0.343,	0.427,	0.119,	0.211,	0.245,	0.614,	0.755,	0.741,	0.853, 
K15, 	S75, 	0.725,	0.657,	0.742,	0.410,	0.431,	0.237,	0.132,	0.015,	0.170,	0.000,	0.222,	0.072,	0.121,	0.016,	0.000,	0.452,	0.156,	0.090,	0.010,	0.046,	0.346,	0.766,	0.759,	0.740, 
K15, 	S76, 	0.769,	0.531,	0.924,	0.542,	0.178,	0.393,	0.337,	0.130,	0.273,	0.039,	0.079,	0.000,	0.135,	0.112,	0.041,	0.000,	0.000,	0.085,	0.238,	0.225,	0.736,	0.538,	0.435,	0.886, 
K15, 	S77, 	0.771,	0.410,	0.783,	0.608,	0.310,	0.262,	0.288,	0.159,	0.281,	0.000,	0.081,	0.324,	0.126,	0.188,	0.000,	0.000,	0.013,	0.086,	0.256,	0.239,	0.533,	0.789,	0.959,	0.831, 
K15, 	S78, 	0.915,	0.746,	0.824,	0.590,	0.687,	0.400,	0.178,	0.252,	0.251,	0.166,	0.004,	0.205,	0.136,	0.003,	0.138,	0.000,	0.000,	0.050,	0.059,	0.375,	0.500,	0.808,	0.927,	0.954, 
K15, 	S79, 	0.721,	0.736,	0.830,	0.752,	0.484,	0.235,	0.321,	0.000,	0.257,	0.115,	0.061,	0.000,	0.000,	0.079,	0.340,	0.045,	0.000,	0.077,	0.286,	0.398,	0.566,	0.462,	0.527,	0.810, 
